"circunscripcion";"organismo";"Total";"categoria"
"Paraná";"Jdo Paz 2 Parana";3195;1
"Concordia";"Jdo Paz Concordia";3056;1
"Paraná";"Jdo Paz 1 Parana";2951;1
"Uruguay";"Jdo Paz C.del Uruguay";978;1
"Paraná";"Jdo Paz San Benito";773;2
"Gualeguaychú";"Jdo Paz Gualeguaychú";732;1
"Gualeguay";"Jdo Paz Gualeguay";629;1
"Paraná";"Jdo Paz Viale";617;2
"Victoria";"Jdo Paz Victoria";602;1
"La Paz";"Jdo de Paz Bovril";581;2
"Colón";"Jdo Paz San Jose";489;2
"Colón";"Jdo Paz Colón";484;1
"Villaguay";"Jdo Paz Villaguay";475;1
"Chajarí";"Jdo Paz Chajarí";461;1
"Nogoyá";"Jdo Paz Nogoyá";446;1
"Paraná";"Jdo Paz Crespo";439;2
"La Paz";"Jdo Paz La Paz";402;1
"La Paz";"Jdo de Paz Sta Elena";312;2
"Colón";"Jdo Paz Villa Elisa";303;2
"Diamante";"Jdo Paz Diamante";289;1
"Paraná";"Jdo Paz Maria Grande";276;2
"Federación";"Jdo Paz Federación";220;1
"Federal";"Jdo Paz Federal";220;1
"Diamante";"Jdo Paz Ramirez";183;2
"San Salvador";"Jdo Paz San Svdor";127;1
"Feliciano";"Jdo Paz Feliciano";123;1
"Tala";"Jdo Paz Rosario Tala";120;1
"Gualeguay";"Jdo Paz Galarza";119;3
"Paraná";"Jdo Paz Hernandarias";119;2
"Villaguay";"Jdo Paz Villa Clara";109;3
"Gualeguaychú";"Jdo Paz Larroque";99;2
"Paraná";"Jdo Paz Hasenkamp";97;2
"Paraná";"Jdo Paz Oro Verde";94;3
"Villaguay";"Jdo Paz Villa Dominguez";89;3
"Paraná";"Jdo Paz Segui";79;3
"Federal";"Jdo Paz Sauce de Luna";72;2
"Gualeguaychú";"Jdo Paz Urdinarrain";64;2
"Chajarí";"Jdo Paz San Jaime Front";62;3
"Uruguay";"Jdo Paz Basavilbaso";61;2
"Paraná";"Jdo Paz Cerrito";60;2
"Colón";"Jdo Paz Ubajay";59;3
"Islas del Ibicuy";"Jdo Paz Ceibas";58;3
"Nogoyá";"Jdo Paz Lucas Gonzalez";55;3
"La Paz";"Jdo Paz Alcaraz";54;3
"Nogoyá";"Jdo Paz Hernandez";49;2
"Islas del Ibicuy";"Jdo Paz Ibicuy";46;3
"Tala";"Jdo Paz Macia";41;2
"Paraná";"Jdo Paz Villa Urquiza";38;3
"Uruguay";"Jdo Paz Villa San Marcial";23;3
"Paraná";"Jdo Paz Pueblo Brugo";21;3
"Uruguay";"Jdo Paz Villa Mantero";18;3
"Concordia";"Jdo Paz Gral Campos";17;2
"Islas del Ibicuy";"Jdo Paz V.Paranacito";12;3
"Tala";"Jdo Paz Mansilla";11;3
"Uruguay";"Jdo Paz Caseros";7;3
"Nogoyá";"Jdo Paz Aranguren";1;3
"Concordia";"Jdo Paz Estancia Gde";NA;3
