"organismo","organismo_descripcion","email_oficial","fuero","circunscripcion","localidad","categoria","tipo","materia"
"jdopaz0000alc","Jdo Paz Alcaraz","jdopazcat3-alca@jusentrerios.gov.ar","Civil y Comercial","La Paz","Alcaraz",3,"jdo","paz"
"jdopaz0000bas","Jdo Paz Basavilbaso","jdopazcat2-baso@jusentrerios.gov.ar","Civil y Comercial","Uruguay","Basavilbaso",2,"jdo","paz"
"jdopaz0000bov","Jdo de Paz Bovril","jdopazcat2-bov@jusentrerios.gov.ar","Civil y Comercial","La Paz","Bovril",2,"jdo","paz"
"jdopaz0000cas","Jdo Paz Caseros","jdopazcat3-cas@jusentrerios.gov.ar","Civil y Comercial","Uruguay","Caseros",3,"jdo","paz"
"jdopaz0000cei","Jdo Paz Ceibas","jdopazcat3-cei@jusentrerios.gov.ar","Civil y Comercial","Islas del Ibicuy","Ceibas",3,"jdo","paz"
"jdopaz0000cer","Jdo Paz Cerrito","jdopazcat2-cer@jusentrerios.gov.ar","Civil y Comercial","Paraná","Cerrito",2,"jdo","paz"
"jdopaz0000cre","Jdo Paz Crespo","jdopazcat2-cre@jusentrerios.gov.ar","Civil y Comercial","Paraná","Crespo",2,"jdo","paz"
"jdopaz0000egr","Jdo Paz Estancia Gde","jdopazcat3-egra@jusentrerios.gov.ar","Civil y Comercial","Concordia","Estancia Grande",3,"jdo","paz"
"jdopaz0000gal","Jdo Paz Galarza","jdopazcat3-ggal@jusentrerios.gov.ar","Civil y Comercial","Gualeguay","Galarza",3,"jdo","paz"
"jdopaz0000gca","Jdo Paz Gral Campos","jdopazcat2-cam@jusentrerios.gov.ar","Civil y Comercial","Concordia","General Campos",2,"jdo","paz"
"jdopaz0000has","Jdo Paz Hasenkamp","jdopazcat2-has@jusentrerios.gov.ar","Civil y Comercial","Paraná","Hasenkamp",2,"jdo","paz"
"jdopaz0000her","Jdo Paz Hernandarias","jdopazcat2-her@jusentrerios.gov.ar","Civil y Comercial","Paraná","Hernandarias",2,"jdo","paz"
